CWE ID,Project Name,Vulnerable File,Programming Language,Line Number,Code Snippet,Exact Vulnerable Line,Description
CWE-23,dromara/hutool,hutool-http/src/main/java/cn/hutool/http/server/action/RootAction.java,Java,68,"public void doAction(HttpServerRequest request, HttpServerResponse response) {
		final String path = request.getPath();

		File file = FileUtil.file(rootDir, path);
		if (file.exists()) {
			if (file.isDirectory()) {
				for (String indexFileName : indexFileNames) {
					
					file = FileUtil.file(file, indexFileName);
					if (file.exists() && file.isFile()) {
						response.write(file);
						return;
					}
				}
			} else{
				final String name = request.getParam(""name"");
				response.write(file, name);
				return;
			}
		}

		response.send404(""404 Not Found !"");
	}","File file = FileUtil.file(rootDir, path);","Unsanitized input from the request URL flows into exists, where it is used as a path. This may result in a Path Traversal vulnerability and allow an attacker to bypass the logic of the application in the conditional expression."
CWE-23,projectlombok/lombok,src/support/lombok/website/WebsiteMaker.java,Java,118,"private static void buildAll(Domain domain, String version, String fullVersion, String argIn, String argOut, boolean newRelease) throws Exception {
		File in, out;
		if (argIn == null) {
			in = new File(""."");
			if (new File(in, ""build.xml"").isFile() && new File(in, ""website"").isDirectory()) in = new File(in, ""website"");
		} else {
			in = new File(argIn);
		}
		
		if (argOut == null) {
			if (new File(""./build.xml"").isFile() && new File(""./website"").isDirectory() && new File(""./build"").isDirectory()) {
				out = new File(""./build/website"");
			} else {
				out = new File(in, ""output"");
			}
		} else {
			out = new File(argOut);
		}
		WebsiteMaker maker = new WebsiteMaker(version, fullVersion, in, out);
		maker.buildWebsite(domain, newRelease);
	}","WebsiteMaker maker = new WebsiteMaker(version, fullVersion, in, out);","Unsanitized input from a command line argument flows into listFiles, where it is used as a path. This may result in a Path Traversal vulnerability and allow an attacker to manipulate arbitrary files."
CWE-23,JetBrains/intellij-community,platform/lang-impl/testSources/com/intellij/platform/templates/github/ZipUtilTest.java,Java,51,"public void testSingleRootDirUnzip() throws Exception {
    Path tempDir = FileUtil.createTempDirectory(""unzip-test-"", null).toPath();
    File simpleZipFile = getZipParentDir().resolve(""single-root-dir-archive.zip"").toFile();
    try (ZipInputStream stream = new ZipInputStream(new FileInputStream(simpleZipFile))) {
      ZipUtil.unzip(null, tempDir, stream, null, null, true);
      checkFileStructure(tempDir,
                         TestFileSystemBuilder.fs()
                           .file(""a.txt"")
                           .dir(""dir"").file(""b.txt""));
    }
  }",try (ZipInputStream stream = new ZipInputStream(new FileInputStream(simpleZipFile))) {,"Unsanitized input from an environment path variable flows into java.util.zip.ZipInputStream, where it is used as a path. This may result in a Path Traversal vulnerability and allow an attacker to read arbitrary files."
CWE-23,VoltDB/voltdb,tests/frontend/org/voltdb/catalog/TestCatalogDiffs.java,Java,620,"public void testModifyVarcharColumns() throws IOException {
        String testDir = BuildDirectoryUtils.getBuildDirectoryPath();
        Catalog catOriginal, catUpdated;
        VoltProjectBuilder builder;
        String report;

         
        builder = new VoltProjectBuilder();
        builder.addLiteralSchema(""\nCREATE TABLE A (C1 BIGINT, v1 varchar(5), v2 varchar(5 BYTES) ) ;"");
        assertTrue(""Failed to compile schema"", builder.compile(testDir + File.separator + ""testVarchar0.jar""));
        catOriginal = catalogForJar(testDir + File.separator + ""testVarchar0.jar"");

        
        builder = new VoltProjectBuilder();
        builder.addLiteralSchema(""\nCREATE TABLE A (C1 BIGINT, v1 varchar(20 BYTES), v2 varchar(5 BYTES) );"");
        assertTrue(""Failed to compile schema"", builder.compile(testDir + File.separator + ""testVarchar1.jar""));
        catUpdated = catalogForJar(testDir + File.separator + ""testVarchar1.jar"");
        report = verifyDiff(catOriginal, catUpdated);
        assert(report.contains(""Table A has been modified.""));

        
        builder = new VoltProjectBuilder();
        builder.addLiteralSchema(""\nCREATE TABLE A (C1 BIGINT, v1 varchar(15 BYTES), v2 varchar(5 BYTES) );"");
        assertTrue(""Failed to compile schema"", builder.compile(testDir + File.separator + ""testVarchar2.jar""));
        catUpdated = catalogForJar(testDir + File.separator + ""testVarchar2.jar"");
        verifyDiffIfEmptyTable(catOriginal, catUpdated);

        
        builder = new VoltProjectBuilder();
        builder.addLiteralSchema(""\nCREATE TABLE A (C1 BIGINT, v1 varchar(100 BYTES), v2 varchar(5 BYTES) );"");
        assertTrue(""Failed to compile schema"", builder.compile(testDir + File.separator + ""testVarchar3.jar""));
        catUpdated = catalogForJar(testDir + File.separator + ""testVarchar3.jar"");
        report = verifyDiff(catOriginal, catUpdated);
        assert(report.contains(""Table A has been modified.""));


        
        builder = new VoltProjectBuilder();
        builder.addLiteralSchema(""\nCREATE TABLE A (C1 BIGINT, v1 varchar(5), v2 varchar(5 BYTES) ) ;"");
        assertTrue(""Failed to compile schema"", builder.compile(testDir + File.separator + ""testVarchar0.jar""));
        catOriginal = catalogForJar(testDir + File.separator + ""testVarchar0.jar"");

        builder = new VoltProjectBuilder();
        builder.addLiteralSchema(""\nCREATE TABLE A (C1 BIGINT, v1 varchar(5), v2 varchar(5) );"");
        assertTrue(""Failed to compile schema"", builder.compile(testDir + File.separator + ""testVarchar4.jar""));
        catUpdated = catalogForJar(testDir + File.separator + ""testVarchar4.jar"");
        report = verifyDiff(catOriginal, catUpdated);
        assert(report.contains(""Table A has been modified.""));

        builder = new VoltProjectBuilder();
        builder.addLiteralSchema(""\nCREATE TABLE A (C1 BIGINT, v1 varchar(5), v2 varchar(15) );"");
        assertTrue(""Failed to compile schema"", builder.compile(testDir + File.separator + ""testVarchar5.jar""));
        catUpdated = catalogForJar(testDir + File.separator + ""testVarchar5.jar"");
        report = verifyDiff(catOriginal, catUpdated);
        assert(report.contains(""Table A has been modified.""));

        builder = new VoltProjectBuilder();
        builder.addLiteralSchema(""\nCREATE TABLE A (C1 BIGINT, v1 varchar(5), v2 varchar(150) );"");
        assertTrue(""Failed to compile schema"", builder.compile(testDir + File.separator + ""testVarchar6.jar""));
        catUpdated = catalogForJar(testDir + File.separator + ""testVarchar6.jar"");
        report = verifyDiff(catOriginal, catUpdated);
        assert(report.contains(""Table A has been modified.""));

        builder = new VoltProjectBuilder();
        builder.addLiteralSchema(""\nCREATE TABLE A (C1 BIGINT, v1 varchar(5), v2 varchar(3) );"");
        assertTrue(""Failed to compile schema"", builder.compile(testDir + File.separator + ""testVarchar6.jar""));
        catUpdated = catalogForJar(testDir + File.separator + ""testVarchar6.jar"");
        verifyDiffIfEmptyTable(catOriginal, catUpdated);
    }","assertTrue(""Failed to compile schema"", builder.compile(testDir + File.separator + ""testVarchar1.jar""));","Unsanitized input from an environment path variable flows into java.io.FileOutputStream, where it is used as a path. This may result in a Path Traversal vulnerability and allow an attacker to write to arbitrary files."
CWE-23,MuntashirAkon/AppManager,app/src/main/java/io/github/muntashirakon/AppManager/apk/installer/PackageInstallerActivity.java,Java,495,"private void goToNext() {
        mCurrentItem = null;
        mMultiplexer.enableInstall(false);
        mMultiplexer.enableUninstall(false);
        if (hasNext()) {
            mIsDealingWithApk = true;
            mDialogHelper.initProgress(v -> goToNext());
            synchronized (mApkQueue) {
                mCurrentItem = Objects.requireNonNull(mApkQueue.poll());
                mModel.getPackageInfo(mCurrentItem);
            }
        } else {
            mIsDealingWithApk = false;
            mDialogHelper.dismiss();
            finish();
        }
    }",mModel.getPackageInfo(mCurrentItem);,"Unsanitized input from Uri.getPathSegments() flows into exists, where it is used as a path. This may result in a Path Traversal vulnerability and allow an attacker to bypass the logic of the application in the conditional expression."
CWE-23,JetBrains/intellij-community,platform/bootstrap/src/com/intellij/platform/ide/impl/startup/multiProcess/FrontendProcessPathCustomizer.java,Java,89,"public CustomPaths customizePaths(@NotNull List<String> args) {
    updatePathSelectorForCommunityEditions(args);
    
    Path newConfig;
    Path basePerProcessDir = getFolderForPerProcessData();

    int directoryCounter = 0;
    while (true) {
      newConfig = basePerProcessDir.resolve(""per_process_config_"" + directoryCounter);

      FileLock configLock = tryLockDirectory(newConfig);
      if (configLock != null) {
        ourConfigLock = configLock;
        break;
      }

      if (directoryCounter > 1000) {
        System.err.println(""Can't lock temp directories in "" + basePerProcessDir);
        return null;
      }

      directoryCounter++;
    }

    Path newSystem = basePerProcessDir.resolve(""per_process_system_"" + directoryCounter);
    Path baseLogDir = getBaseLogDir();
    Path newLog = computeLogDirPath(baseLogDir, directoryCounter);
    if (newLog == null) {
      System.err.println(""Can't create log directory in "" + baseLogDir);
      return null;
    }
    cleanDirectory(newConfig);
    cleanDirectory(newSystem);

    String originalPluginsPath = PathManager.getPluginsPath();
    boolean customizePluginsPath = useCustomPluginsPath(originalPluginsPath);
    String pluginsPath = customizePluginsPath ? originalPluginsPath + File.separator + ""frontend"" : originalPluginsPath;
    boolean migratePlugins = customizePluginsPath && !Files.exists(Paths.get(pluginsPath, PLUGINS_MIGRATED_MARKER));
    PerProcessPathCustomization.prepareConfig(newConfig, PathManager.getConfigDir(), migratePlugins);

    Path startupScriptDir = PerProcessPathCustomization.getStartupScriptDir().resolve(""frontend"");
    P3SupportInstaller.INSTANCE.installPerProcessInstanceSupportImplementation(new ClientP3Support());
    enabled = true;
    return new CustomPaths(newConfig.toString(), newSystem.toString(), pluginsPath, newLog.toString(), startupScriptDir);
  }","PerProcessPathCustomization.prepareConfig(newConfig, PathManager.getConfigDir(), migratePlugins);","Unsanitized input from an environment path variable flows into java.nio.file.Files.copy, where it is used as a path. This may result in a Path Traversal vulnerability and allow an attacker to read arbitrary files."
CWE-23,eugenp/tutorials,deeplearning4j/src/main/java/com/baeldung/logreg/Utils.java,Java,89,"public static void extractEntry(ArchiveEntry entry, InputStream tar, String folder) throws IOException {
        final int bufferSize = 4096;
        final String path = folder + entry.getName();
        if (entry.isDirectory()) {
            new File(path).mkdirs();
        } else {
            int count;
            byte[] data = new byte[bufferSize];
            
            try (FileOutputStream os = new FileOutputStream(path); 
                BufferedOutputStream dest = new BufferedOutputStream(os, bufferSize)) {
           
                while ((count = tar.read(data, 0, bufferSize)) != -1) {
                    dest.write(data, 0, count);
                }
            }
        }
    }",new File(path).mkdirs();,"Unsanitized input from a zip file flows into mkdirs, where it is used as a path. This may result in a Path Traversal vulnerability and allow an attacker to manipulate arbitrary files."
CWE-23,yacy/yacy_search_server,source/net/yacy/utils/tarTools.java,Java,139,"public static void unTar(final InputStream in, final String untarDir) throws IOException {
		ConcurrentLog.info(""UNTAR"", ""starting"");
		if (new File(untarDir).exists()) {
			final TarArchiveInputStream tin = new TarArchiveInputStream(in);
			try {
				TarArchiveEntry tarEntry = tin.getNextTarEntry();
				if (tarEntry == null) {
					throw new IOException(""tar archive is empty or corrupted"");
				}
				while(tarEntry != null){
					final File destPath = new File(untarDir + File.separator + tarEntry.getName());
					if (!tarEntry.isDirectory()) {
						new File(destPath.getParent()).mkdirs(); 
						try (
							
							final FileOutputStream fout = new FileOutputStream(destPath);
						) {
							IOUtils.copyLarge(tin, fout, 0, tarEntry.getSize());
						}
					} else {
						destPath.mkdir();
					}
					tarEntry = tin.getNextTarEntry();
				}
			} finally {
				try {
					tin.close();
				} catch (IOException ignored) {
					ConcurrentLog.warn(""UNTAR"", ""InputStream could not be closed"");
				}
			}
		} else { 
			ConcurrentLog.warn(""UNTAR"", ""destination "" + untarDir + "" doesn't exist."");
			
			try {
				in.close();
			} catch (IOException ignored) {
				ConcurrentLog.warn(""UNTAR"", ""InputStream could not be closed"");
			}
			throw new FileNotFoundException(""Output untar directory not found : "" + untarDir);
		}
		ConcurrentLog.info(""UNTAR"", ""finished"");
	}",final FileOutputStream fout = new FileOutputStream(destPath);,"Unsanitized input from a zip file flows into java.io.FileOutputStream, where it is used as a path. This may result in a Path Traversal vulnerability and allow an attacker to write to arbitrary files."
CWE-23,VoltDB/voltdb,src/frontend/org/voltcore/messaging/Subconnection.java,Java,139,"private void handleRead(ByteBuffer in, Connection c) throws IOException {
        
        
        long recvDests[] = null;

        final long sourceHSId = in.getLong();
        final int destCount = in.getInt();
        if (destCount == ForeignHost.POISON_PILL) {
            
            
            if (VoltDB.instance().getMode() == OperationMode.SHUTTINGDOWN) {
                return;
            }
            byte messageBytes[] = new byte[in.getInt()];
            in.get(messageBytes);
            String message = new String(messageBytes, ""UTF-8"");
            message = String.format(""Fatal error from id,hostname(%d,%s): %s"",
                    m_hostId, getHostnameOrIP(), message);
            
            int cause = in.getInt();
            if (cause == ForeignHost.CRASH_ME) {
                int hid = VoltDB.instance().getHostMessenger().getHostId();
                hostLog.debug(""Poison Pill with target me was sent.: "" + hid);
                
                VoltDB.instance().halt();
            } else if (cause == ForeignHost.CRASH_ALL || cause == ForeignHost.CRASH_SPECIFIED) {
                org.voltdb.VoltDB.crashLocalVoltDB(message, false, null);
            } else if (cause == ForeignHost.PRINT_STACKTRACE) {
                
                String dumpDir = new File(VoltDB.instance().getVoltDBRootPath(), ""thread_dumps"").getAbsolutePath();
                String fileName =  m_hostMessenger.getHostname() + ""_host-"" + m_hostId + ""_"" + System.currentTimeMillis()+"".jstack"";
                VoltDB.dumpThreadTraceToFile(dumpDir, fileName );
            } else {
                
                hostLog.error(""Invalid Cause in poison pill: "" + cause);
            }
            return;
        } else if (destCount == ForeignHost.STOPNODE_NOTICE) {
            int targetHostId = in.getInt();
            hostLog.info(""Receive StopNode notice for host "" + targetHostId);
            m_hostMessenger.addStopNodeNotice(targetHostId);
            return;
        }

        recvDests = new long[destCount];
        for (int i = 0; i < destCount; i++) {
            recvDests[i] = in.getLong();
        }

        final VoltMessage message =
            m_hostMessenger.getMessageFactory().createMessageFromBuffer(in, sourceHSId);

        
        
        
        if (   message instanceof SiteFailureMessage
                && !(message instanceof SiteFailureForwardMessage))
        {
            SiteFailureMessage sfm = (SiteFailureMessage)message;
            for (FaultMessage fm: sfm.asFaultMessages()) {
                m_hostMessenger.relayForeignHostFailed(fm);
            }
        }

        for (int i = 0; i < destCount; i++) {
            deliverMessage( recvDests[i], message);
        }

        m_fh.updateLastMessageTime(EstTime.currentTimeMillis());
    }","VoltDB.dumpThreadTraceToFile(dumpDir, fileName );","Unsanitized input from data from a remote resource flows into java.io.FileWriter, where it is used as a path. This may result in a Path Traversal vulnerability and allow an attacker to write to arbitrary files."
CWE-23,dragonwell-project/dragonwell8,jdk/src/share/classes/com/sun/java/swing/plaf/gtk/Metacity.java,Java,1415,"protected void draw(Node draw_ops, Graphics g, JInternalFrame jif) {
        if (draw_ops != null) {
            NodeList nodes = draw_ops.getChildNodes();
            if (nodes != null) {
                Shape oldClip = g.getClip();
                for (int i = 0; i < nodes.getLength(); i++) {
                    Node child = nodes.item(i);
                    if (child.getNodeType() == Node.ELEMENT_NODE) {
                        try {
                            String name = child.getNodeName();
                            if (""include"".equals(name)) {
                                drawInclude(child, g, jif);
                            } else if (""arc"".equals(name)) {
                                drawArc(child, g);
                            } else if (""clip"".equals(name)) {
                                setClip(child, g);
                            } else if (""gradient"".equals(name)) {
                                drawGradient(child, g);
                            } else if (""gtk_arrow"".equals(name)) {
                                drawGTKArrow(child, g);
                            } else if (""gtk_box"".equals(name)) {
                                drawGTKBox(child, g);
                            } else if (""gtk_vline"".equals(name)) {
                                drawGTKVLine(child, g);
                            } else if (""image"".equals(name)) {
                                drawImage(child, g);
                            } else if (""icon"".equals(name)) {
                                drawIcon(child, g, jif);
                            } else if (""line"".equals(name)) {
                                drawLine(child, g);
                            } else if (""rectangle"".equals(name)) {
                                drawRectangle(child, g);
                            } else if (""tint"".equals(name)) {
                                drawTint(child, g);
                            } else if (""tile"".equals(name)) {
                                drawTile(child, g, jif);
                            } else if (""title"".equals(name)) {
                                drawTitle(child, g, jif);
                            } else {
                                System.err.println(""Unknown Metacity drawing op: ""+child);
                            }
                        } catch (NumberFormatException ex) {
                            logError(themeName, ex);
                        }
                    }
                }
                g.setClip(oldClip);
            }
        }
    }","drawTile(child, g, jif);","Unsanitized input from data from a remote resource flows into delete, where it is used as a path. This may result in a Path Traversal vulnerability and allow an attacker to manipulate arbitrary files."
